,0
0,0.781370432793079
1,0.7751439207002515
2,0.769183737817444
3,0.7633466360860113
4,0.7576967234457079
5,0.7521075066131517
6,0.7465897852403598
7,0.7411543618703904
8,0.7357262957524913
9,0.7303688218329606
10,0.7249479387535026
11,0.7195644775247775
12,0.7141964673378257
13,0.7088944182326004
14,0.7035051181820453
15,0.6981114736266302
16,0.6926574080532257
17,0.6871586934453073
18,0.681596714634462
19,0.6759517889835248
20,0.6701663702224602
21,0.6642665169157551
22,0.658284842809057
23,0.6521863867819164
24,0.6460367233901589
25,0.6397413015908094
26,0.6334145467486818
27,0.6270504607652035
28,0.6205858718328711
29,0.614186587886239
30,0.6077108545508053
31,0.601265367563883
32,0.5947493004057777
33,0.5882679341304775
34,0.5819879274106573
35,0.5757683840251242
36,0.569679350131897
37,0.5636827147691448
38,0.5576890520269119
39,0.5518644236343418
40,0.5461713965285308
41,0.540587376047027
42,0.5351181873782215
43,0.5297548522978881
44,0.52452456177881
45,0.5193516242320608
46,0.5143178602083869
47,0.509319135826454
48,0.5044650609787303
49,0.49962267910040314
50,0.49487033350750503
51,0.490167178015368
52,0.48532847328787443
53,0.48055315309410596
54,0.4758663253191893
55,0.4711947834623139
56,0.466460037577935
57,0.46168708136906395
58,0.45684834689290765
59,0.45191650847341386
60,0.446826274368707
61,0.44154264971195245
62,0.43601885174648697
63,0.4301738968913916
64,0.423859294542819
65,0.4170320980027105
66,0.4094661080794436
67,0.40095073432166417
68,0.3912326220785551
69,0.379959644683351
70,0.3661667472928523
71,0.35011517903978456
72,0.3321434973286082
73,0.3137286334128041
74,0.29639077698254274
75,0.28183169757325277
76,0.26967426973944997
77,0.2603808010222221
78,0.25311148602529415
79,0.24691487727127298
80,0.24154557206137756
81,0.2365147122795231
82,0.23194955388366162
83,0.22762683453155552
84,0.22349755361393225
85,0.21954022643552187
86,0.21567002496911813
87,0.21177444962285452
88,0.2079072465355707
89,0.20375909396686612
90,0.19932026734514638
91,0.19427831733231143
92,0.18809191100656822
93,0.17945625336666435
94,0.17081111544722996
95,0.15514527002437242
96,0.13559803957965277
97,0.13073099515926093
98,0.12650456159952286
99,0.12265791097773554
100,0.11938817076304929
101,0.11667465334461402
102,0.11433663221744997
103,0.11230732730340015
104,0.11058564467182254
105,0.10903399082928485
106,0.1077146086658084
107,0.10651852462057652
108,0.10539293053714341
109,0.10445566003514128
110,0.10354525378384898
111,0.10274361898617387
112,0.10198711810399054
113,0.10128977495751225
114,0.10066421807071066
115,0.1001067742787449
116,0.09954900903335644
117,0.09902563567138906
118,0.09854557281687677
119,0.09808598250167065
120,0.09767914602050162
121,0.09727476614615971
122,0.09690987528071295
123,0.09653295042432262
124,0.09617269276305879
125,0.09583003427168807
126,0.09548045702095122
127,0.09517627038780434
128,0.09488075090358424
129,0.09454455066770397
130,0.09425487616869598
131,0.09396688975129223
132,0.09369195358905816
133,0.09341261419744254
134,0.09312250139085783
135,0.09285044960933356
136,0.09258381898325854
137,0.09228690660579962
138,0.09204017169608841
139,0.09177892895992387
140,0.09147276164195324
141,0.09118467051818639
142,0.09095427736168718
143,0.09068006191398749
144,0.09042365281515993
145,0.09014503952624142
146,0.08984498661207056
147,0.08956807059402376
148,0.0892870387920333
149,0.08900150499797681
150,0.08871125446579813
151,0.08842056615393999
152,0.08810016400132535
153,0.08777012094328876
154,0.08746421672356901
155,0.08713970445985196
156,0.08678253350403205
157,0.08644787920116175
158,0.0860766134452956
159,0.08569931442091348
160,0.08532562644916732
161,0.0849298003652002
162,0.08448805857813727
163,0.08406405243100218
164,0.08360406511670646
165,0.08310706422450918
166,0.08256698007537208
167,0.08204301488338504
168,0.08143286599886287
169,0.08078441289746577
170,0.08011215738195243
171,0.07933001509839423
172,0.07852278122529205
173,0.0776276433034783
174,0.07666042981253264
175,0.0755511086802228
176,0.07434804902424937
177,0.07301521646649062
178,0.07156941056616051
179,0.06996391425223365
180,0.06820301130299793
181,0.06628228019908941
